,Max Iter,Alpha,Num Node 1,Num Node 2,MSE
0,100,0.001,1,1,2.007
1,100,0.001,1,4,1.861
2,100,0.001,1,7,1.584
3,100,0.001,1,10,1.652
4,100,0.001,1,13,1.96
5,100,0.001,1,16,2.269
6,100,0.001,1,19,1.926
7,100,0.001,3,1,4.146
8,100,0.001,3,4,3.054
9,100,0.001,3,7,3.818
10,100,0.001,3,10,3.436
11,100,0.001,3,13,3.619
12,100,0.001,3,16,3.108
13,100,0.001,3,19,3.627
14,100,0.001,5,1,5.978
15,100,0.001,5,4,5.787
16,100,0.001,5,7,5.493
17,100,0.001,5,10,4.636
18,100,0.001,5,13,6.196
19,100,0.001,5,16,4.99
20,100,0.001,5,19,6.103
21,100,0.001,7,1,8.924
22,100,0.001,7,4,8.378
23,100,0.001,7,7,8.929
24,100,0.001,7,10,8.656
25,100,0.001,7,13,10.018
26,100,0.001,7,16,10.052
27,100,0.001,7,19,9.156
28,100,0.001,9,1,15.08
29,100,0.001,9,4,
30,100,0.001,9,7,
31,100,0.001,9,10,
32,100,0.001,9,13,
33,100,0.001,9,16,
34,100,0.001,9,19,
35,100,0.0001,1,1,1.978
36,100,0.0001,1,4,2.177
37,100,0.0001,1,7,1.876
38,100,0.0001,1,10,1.758
39,100,0.0001,1,13,2.098
40,100,0.0001,1,16,1.831
41,100,0.0001,1,19,2.034
42,100,0.0001,3,1,3.679
43,100,0.0001,3,4,3.18
44,100,0.0001,3,7,3.926
45,100,0.0001,3,10,3.092
46,100,0.0001,3,13,3.645
47,100,0.0001,3,16,3.727
48,100,0.0001,3,19,4.027
49,100,0.0001,5,1,5.497
50,100,0.0001,5,4,5.197
51,100,0.0001,5,7,4.982
52,100,0.0001,5,10,5.062
53,100,0.0001,5,13,6.096
54,100,0.0001,5,16,6.085
55,100,0.0001,5,19,6.353
56,100,0.0001,7,1,9.669
57,100,0.0001,7,4,8.573
58,100,0.0001,7,7,7.869
59,100,0.0001,7,10,8.506
60,100,0.0001,7,13,8.937
61,100,0.0001,7,16,8.463
62,100,0.0001,7,19,9.08
63,100,0.0001,9,1,12.052
64,100,0.0001,9,4,10.018
65,100,0.0001,9,7,11.937
66,100,0.0001,9,10,13.154
67,100,0.0001,9,13,13.655
68,100,0.0001,9,16,12.857
69,100,0.0001,9,19,13.851
70,100,1e-05,1,1,2.072
71,100,1e-05,1,4,2.007
72,100,1e-05,1,7,1.534
73,100,1e-05,1,10,1.653
74,100,1e-05,1,13,1.817
75,100,1e-05,1,16,2.295
76,100,1e-05,1,19,2.142
77,100,1e-05,3,1,2.614
78,100,1e-05,3,4,3.405
79,100,1e-05,3,7,3.568
80,100,1e-05,3,10,3.563
81,100,1e-05,3,13,3.78
82,100,1e-05,3,16,3.669
83,100,1e-05,3,19,3.6
84,100,1e-05,5,1,6.377
85,100,1e-05,5,4,5.556
86,100,1e-05,5,7,4.959
87,100,1e-05,5,10,5.398
88,100,1e-05,5,13,6.086
89,100,1e-05,5,16,6.062
90,100,1e-05,5,19,5.928
91,100,1e-05,7,1,9.233
92,100,1e-05,7,4,8.572
93,100,1e-05,7,7,9.163
94,100,1e-05,7,10,8.388
95,100,1e-05,7,13,7.5
96,100,1e-05,7,16,8.888
97,100,1e-05,7,19,8.658
98,100,1e-05,9,1,12.091
99,100,1e-05,9,4,14.049
100,100,1e-05,9,7,10.61
101,100,1e-05,9,10,12.035
102,100,1e-05,9,13,11.462
103,100,1e-05,9,16,15.123
104,100,1e-05,9,19,12.292
105,100,1e-07,1,1,2.05
106,100,1e-07,1,4,1.911
107,100,1e-07,1,7,1.798
108,100,1e-07,1,10,1.74
109,100,1e-07,1,13,1.77
110,100,1e-07,1,16,1.914
111,100,1e-07,1,19,1.965
112,100,1e-07,3,1,3.564
113,100,1e-07,3,4,3.743
114,100,1e-07,3,7,3.087
115,100,1e-07,3,10,3.577
116,100,1e-07,3,13,3.846
117,100,1e-07,3,16,3.047
118,100,1e-07,3,19,2.845
119,100,1e-07,5,1,5.067
120,100,1e-07,5,4,5.376
121,100,1e-07,5,7,5.658
122,100,1e-07,5,10,6.521
123,100,1e-07,5,13,4.694
124,100,1e-07,5,16,4.89
125,100,1e-07,5,19,4.716
126,100,1e-07,7,1,8.001
127,100,1e-07,7,4,8.037
128,100,1e-07,7,7,8.692
129,100,1e-07,7,10,8.905
130,100,1e-07,7,13,9.35
131,100,1e-07,7,16,8.721
132,100,1e-07,7,19,8.349
133,100,1e-07,9,1,12.298
134,100,1e-07,9,4,11.09
135,100,1e-07,9,7,11.408
136,100,1e-07,9,10,12.077
137,100,1e-07,9,13,11.129
138,100,1e-07,9,16,12.58
139,100,1e-07,9,19,13.993
140,500,0.001,1,1,2.011
141,500,0.001,1,4,1.424
142,500,0.001,1,7,2.038
143,500,0.001,1,10,2.192
144,500,0.001,1,13,1.905
145,500,0.001,1,16,1.792
146,500,0.001,1,19,1.796
147,500,0.001,3,1,3.503
148,500,0.001,3,4,3.037
149,500,0.001,3,7,2.947
150,500,0.001,3,10,3.188
151,500,0.001,3,13,4.047
152,500,0.001,3,16,3.419
153,500,0.001,3,19,3.436
154,500,0.001,5,1,
155,500,0.001,5,4,
156,500,0.001,5,7,
157,500,0.001,5,10,4.522
158,500,0.001,5,13,
159,500,0.001,5,16,
160,500,0.001,5,19,5.146
161,500,0.001,7,1,
162,500,0.001,7,4,
163,500,0.001,7,7,
164,500,0.001,7,10,
165,500,0.001,7,13,
166,500,0.001,7,16,
167,500,0.001,7,19,
168,500,0.001,9,1,
169,500,0.001,9,4,
170,500,0.001,9,7,
171,500,0.001,9,10,
172,500,0.001,9,13,
173,500,0.001,9,16,
174,500,0.001,9,19,
175,500,0.0001,1,1,1.747
176,500,0.0001,1,4,1.912
177,500,0.0001,1,7,1.56
178,500,0.0001,1,10,1.764
179,500,0.0001,1,13,1.801
180,500,0.0001,1,16,2.164
181,500,0.0001,1,19,1.801
182,500,0.0001,3,1,3.82
183,500,0.0001,3,4,3.338
184,500,0.0001,3,7,3.666
185,500,0.0001,3,10,3.612
186,500,0.0001,3,13,3.424
187,500,0.0001,3,16,3.767
188,500,0.0001,3,19,3.795
189,500,0.0001,5,1,5.464
190,500,0.0001,5,4,6.248
191,500,0.0001,5,7,6.518
192,500,0.0001,5,10,4.369
193,500,0.0001,5,13,5.335
194,500,0.0001,5,16,5.825
195,500,0.0001,5,19,5.109
196,500,0.0001,7,1,9.117
197,500,0.0001,7,4,8.644
198,500,0.0001,7,7,8.663
199,500,0.0001,7,10,7.456
200,500,0.0001,7,13,8.776
201,500,0.0001,7,16,8.469
202,500,0.0001,7,19,10.185
203,500,0.0001,9,1,13.078
204,500,0.0001,9,4,12.61
205,500,0.0001,9,7,10.136
206,500,0.0001,9,10,13.669
207,500,0.0001,9,13,14.844
208,500,0.0001,9,16,13.897
209,500,0.0001,9,19,13.672
210,500,1e-05,1,1,1.855
211,500,1e-05,1,4,1.87
212,500,1e-05,1,7,1.75
213,500,1e-05,1,10,1.564
214,500,1e-05,1,13,1.952
215,500,1e-05,1,16,1.939
216,500,1e-05,1,19,1.771
217,500,1e-05,3,1,2.85
218,500,1e-05,3,4,3.019
219,500,1e-05,3,7,3.844
220,500,1e-05,3,10,2.906
221,500,1e-05,3,13,3.325
222,500,1e-05,3,16,2.95
223,500,1e-05,3,19,3.657
224,500,1e-05,5,1,5.63
225,500,1e-05,5,4,7.158
226,500,1e-05,5,7,5.596
227,500,1e-05,5,10,5.231
228,500,1e-05,5,13,5.904
229,500,1e-05,5,16,4.906
230,500,1e-05,5,19,6.137
231,500,1e-05,7,1,7.796
232,500,1e-05,7,4,8.539
233,500,1e-05,7,7,8.962
234,500,1e-05,7,10,9.274
235,500,1e-05,7,13,7.536
236,500,1e-05,7,16,9.355
237,500,1e-05,7,19,9.063
238,500,1e-05,9,1,12.397
239,500,1e-05,9,4,12.53
240,500,1e-05,9,7,13.157
241,500,1e-05,9,10,10.695
242,500,1e-05,9,13,12.729
243,500,1e-05,9,16,12.082
244,500,1e-05,9,19,10.138
245,500,1e-07,1,1,2.107
246,500,1e-07,1,4,1.857
247,500,1e-07,1,7,1.593
248,500,1e-07,1,10,1.863
249,500,1e-07,1,13,1.793
250,500,1e-07,1,16,2.265
251,500,1e-07,1,19,1.916
252,500,1e-07,3,1,3.335
253,500,1e-07,3,4,3.019
254,500,1e-07,3,7,3.1
255,500,1e-07,3,10,3.532
256,500,1e-07,3,13,3.798
257,500,1e-07,3,16,3.817
258,500,1e-07,3,19,3.606
259,500,1e-07,5,1,6.822
260,500,1e-07,5,4,6.373
261,500,1e-07,5,7,6.758
262,500,1e-07,5,10,7.589
263,500,1e-07,5,13,5.59
264,500,1e-07,5,16,5.86
265,500,1e-07,5,19,5.008
266,500,1e-07,7,1,8.205
267,500,1e-07,7,4,7.56
268,500,1e-07,7,7,8.866
269,500,1e-07,7,10,9.494
270,500,1e-07,7,13,9.159
271,500,1e-07,7,16,10.096
272,500,1e-07,7,19,7.549
273,500,1e-07,9,1,10.13
274,500,1e-07,9,4,10.789
275,500,1e-07,9,7,11.326
276,500,1e-07,9,10,10.854
277,500,1e-07,9,13,11.76
278,500,1e-07,9,16,11.054
279,500,1e-07,9,19,12.738
280,1000,0.001,1,1,1.888
281,1000,0.001,1,4,2.081
282,1000,0.001,1,7,1.832
283,1000,0.001,1,10,1.861
284,1000,0.001,1,13,2.019
285,1000,0.001,1,16,1.861
286,1000,0.001,1,19,1.838
287,1000,0.001,3,1,4.153
288,1000,0.001,3,4,3.975
289,1000,0.001,3,7,3.275
290,1000,0.001,3,10,4.213
291,1000,0.001,3,13,3.682
292,1000,0.001,3,16,3.219
293,1000,0.001,3,19,3.147
294,1000,0.001,5,1,
295,1000,0.001,5,4,
296,1000,0.001,5,7,
297,1000,0.001,5,10,
298,1000,0.001,5,13,
299,1000,0.001,5,16,
300,1000,0.001,5,19,
301,1000,0.001,7,1,
302,1000,0.001,7,4,
303,1000,0.001,7,7,
304,1000,0.001,7,10,
305,1000,0.001,7,13,
306,1000,0.001,7,16,
307,1000,0.001,7,19,
308,1000,0.001,9,1,
309,1000,0.001,9,4,
310,1000,0.001,9,7,
311,1000,0.001,9,10,
312,1000,0.001,9,13,
313,1000,0.001,9,16,
314,1000,0.001,9,19,
315,1000,0.0001,1,1,1.621
316,1000,0.0001,1,4,1.815
317,1000,0.0001,1,7,1.623
318,1000,0.0001,1,10,1.663
319,1000,0.0001,1,13,1.99
320,1000,0.0001,1,16,2.068
321,1000,0.0001,1,19,1.861
322,1000,0.0001,3,1,2.772
323,1000,0.0001,3,4,3.214
324,1000,0.0001,3,7,3.164
325,1000,0.0001,3,10,4.194
326,1000,0.0001,3,13,3.506
327,1000,0.0001,3,16,3.544
328,1000,0.0001,3,19,3.209
329,1000,0.0001,5,1,7.041
330,1000,0.0001,5,4,5.777
331,1000,0.0001,5,7,5.803
332,1000,0.0001,5,10,4.996
333,1000,0.0001,5,13,6.13
334,1000,0.0001,5,16,6.152
335,1000,0.0001,5,19,5.881
336,1000,0.0001,7,1,7.98
337,1000,0.0001,7,4,7.058
338,1000,0.0001,7,7,7.666
339,1000,0.0001,7,10,9.571
340,1000,0.0001,7,13,7.542
341,1000,0.0001,7,16,
342,1000,0.0001,7,19,8.596
343,1000,0.0001,9,1,
344,1000,0.0001,9,4,
345,1000,0.0001,9,7,
346,1000,0.0001,9,10,
347,1000,0.0001,9,13,
348,1000,0.0001,9,16,
349,1000,0.0001,9,19,
350,1000,1e-05,1,1,2.033
351,1000,1e-05,1,4,1.943
352,1000,1e-05,1,7,1.916
353,1000,1e-05,1,10,1.868
354,1000,1e-05,1,13,1.784
355,1000,1e-05,1,16,1.684
356,1000,1e-05,1,19,1.601
357,1000,1e-05,3,1,3.506
358,1000,1e-05,3,4,3.734
359,1000,1e-05,3,7,3.643
360,1000,1e-05,3,10,3.922
361,1000,1e-05,3,13,3.056
362,1000,1e-05,3,16,3.442
363,1000,1e-05,3,19,3.519
364,1000,1e-05,5,1,6.023
365,1000,1e-05,5,4,4.894
366,1000,1e-05,5,7,5.677
367,1000,1e-05,5,10,5.846
368,1000,1e-05,5,13,5.59
369,1000,1e-05,5,16,4.839
370,1000,1e-05,5,19,5.252
371,1000,1e-05,7,1,6.47
372,1000,1e-05,7,4,8.484
373,1000,1e-05,7,7,8.392
374,1000,1e-05,7,10,9.018
375,1000,1e-05,7,13,7.437
376,1000,1e-05,7,16,8.815
377,1000,1e-05,7,19,10.186
378,1000,1e-05,9,1,11.853
379,1000,1e-05,9,4,9.676
380,1000,1e-05,9,7,14.625
381,1000,1e-05,9,10,11.738
382,1000,1e-05,9,13,12.882
383,1000,1e-05,9,16,12.854
384,1000,1e-05,9,19,13.287
385,1000,1e-07,1,1,1.728
386,1000,1e-07,1,4,1.77
387,1000,1e-07,1,7,1.976
388,1000,1e-07,1,10,1.813
389,1000,1e-07,1,13,1.795
390,1000,1e-07,1,16,1.695
391,1000,1e-07,1,19,1.661
392,1000,1e-07,3,1,3.236
393,1000,1e-07,3,4,3.057
394,1000,1e-07,3,7,3.01
395,1000,1e-07,3,10,2.87
396,1000,1e-07,3,13,4.101
397,1000,1e-07,3,16,3.67
398,1000,1e-07,3,19,3.225
399,1000,1e-07,5,1,6.096
400,1000,1e-07,5,4,6.11
401,1000,1e-07,5,7,5.508
402,1000,1e-07,5,10,5.371
403,1000,1e-07,5,13,5.588
404,1000,1e-07,5,16,5.759
405,1000,1e-07,5,19,5.812
406,1000,1e-07,7,1,7.599
407,1000,1e-07,7,4,8.797
408,1000,1e-07,7,7,10.088
409,1000,1e-07,7,10,8.084
410,1000,1e-07,7,13,10.675
411,1000,1e-07,7,16,9.627
412,1000,1e-07,7,19,8.819
413,1000,1e-07,9,1,12.125
414,1000,1e-07,9,4,12.086
415,1000,1e-07,9,7,12.576
416,1000,1e-07,9,10,11.299
417,1000,1e-07,9,13,13.758
418,1000,1e-07,9,16,11.686
419,1000,1e-07,9,19,13.773
