,Max Iter,Eta,MSE
0,100,0.001,0.657
1,100,0.112,0.495
2,100,0.223,1.336282976467575e+71
3,100,0.334,9.548743178630043e+117
4,100,0.445,1.773696481094757e+148
5,100,0.556,4.487753218109802e+170
6,100,0.667,2.789540724361085e+188
7,100,0.778,1.608459810676918e+203
8,100,0.889,6.597989178101793e+215
9,100,1.0,6.775565716767931e+226
10,200,0.001,0.631
11,200,0.112,0.494
12,200,0.223,1.352223643193969e+143
13,200,0.334,6.9046883059327905e+236
14,200,0.445,2.3823757445475978e+297
15,200,0.556,inf
16,200,0.667,inf
17,200,0.778,inf
18,200,0.889,inf
19,200,1.0,inf
20,300,0.001,0.621
21,300,0.112,0.494
22,300,0.223,1.3683544679472475e+215
23,300,0.334,inf
24,300,0.445,inf
25,300,0.556,inf
26,300,0.667,inf
27,300,0.778,inf
28,300,0.889,
29,300,1.0,
30,400,0.001,0.613
31,400,0.112,0.495
32,400,0.223,1.3846777190854164e+287
33,400,0.334,inf
34,400,0.445,inf
35,400,0.556,
36,400,0.667,
37,400,0.778,
38,400,0.889,
39,400,1.0,
40,500,0.001,0.606
41,500,0.112,0.496
42,500,0.223,inf
43,500,0.334,inf
44,500,0.445,
45,500,0.556,
46,500,0.667,
47,500,0.778,
48,500,0.889,
49,500,1.0,
50,600,0.001,0.599
51,600,0.112,0.498
52,600,0.223,inf
53,600,0.334,
54,600,0.445,
55,600,0.556,
56,600,0.667,
57,600,0.778,
58,600,0.889,
59,600,1.0,
60,700,0.001,0.592
61,700,0.112,0.5
62,700,0.223,inf
63,700,0.334,
64,700,0.445,
65,700,0.556,
66,700,0.667,
67,700,0.778,
68,700,0.889,
69,700,1.0,
