,Max Iter,Alpha,Num Node 1,Num Node 2,MSE
0,100,0.1,1,1,1.301
1,100,0.1,1,3,
2,100,0.1,1,5,
3,100,0.1,1,7,
4,100,0.1,1,9,
5,100,0.1,3,1,
6,100,0.1,3,3,
7,100,0.1,3,5,
8,100,0.1,3,7,
9,100,0.1,3,9,
10,100,0.1,5,1,
11,100,0.1,5,3,
12,100,0.1,5,5,
13,100,0.1,5,7,
14,100,0.1,5,9,
15,100,0.1,7,1,
16,100,0.1,7,3,
17,100,0.1,7,5,
18,100,0.1,7,7,
19,100,0.1,7,9,
20,100,0.1,9,1,
21,100,0.1,9,3,
22,100,0.1,9,5,
23,100,0.1,9,7,
24,100,0.1,9,9,
25,100,0.01,1,1,1.824
26,100,0.01,1,3,2.264
27,100,0.01,1,5,2.639
28,100,0.01,1,7,4.525
29,100,0.01,1,9,5.179
30,100,0.01,3,1,1.503
31,100,0.01,3,3,
32,100,0.01,3,5,
33,100,0.01,3,7,
34,100,0.01,3,9,
35,100,0.01,5,1,
36,100,0.01,5,3,
37,100,0.01,5,5,
38,100,0.01,5,7,
39,100,0.01,5,9,
40,100,0.01,7,1,
41,100,0.01,7,3,
42,100,0.01,7,5,
43,100,0.01,7,7,
44,100,0.01,7,9,
45,100,0.01,9,1,
46,100,0.01,9,3,
47,100,0.01,9,5,
48,100,0.01,9,7,
49,100,0.01,9,9,
50,100,0.001,1,1,1.39
51,100,0.001,1,3,2.045
52,100,0.001,1,5,2.925
53,100,0.001,1,7,3.447
54,100,0.001,1,9,5.427
55,100,0.001,3,1,1.526
56,100,0.001,3,3,1.792
57,100,0.001,3,5,2.523
58,100,0.001,3,7,2.33
59,100,0.001,3,9,3.837
60,100,0.001,5,1,1.328
61,100,0.001,5,3,1.631
62,100,0.001,5,5,1.823
63,100,0.001,5,7,2.356
64,100,0.001,5,9,
65,100,0.001,7,1,1.192
66,100,0.001,7,3,1.745
67,100,0.001,7,5,1.433
68,100,0.001,7,7,2.188
69,100,0.001,7,9,
70,100,0.001,9,1,1.411
71,100,0.001,9,3,1.472
72,100,0.001,9,5,1.682
73,100,0.001,9,7,
74,100,0.001,9,9,
75,100,1e-05,1,1,1.513
76,100,1e-05,1,3,1.741
77,100,1e-05,1,5,2.617
78,100,1e-05,1,7,3.134
79,100,1e-05,1,9,5.001
80,100,1e-05,3,1,1.375
81,100,1e-05,3,3,1.715
82,100,1e-05,3,5,2.489
83,100,1e-05,3,7,2.601
84,100,1e-05,3,9,4.26
85,100,1e-05,5,1,1.549
