,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
0,100,0.1,1,1,0.703
1,100,0.1,1,3,0.703
2,100,0.1,1,5,0.703
3,100,0.1,3,1,0.703
4,100,0.1,3,3,0.703
5,100,0.1,3,5,0.703
6,100,0.1,5,1,0.703
7,100,0.1,5,3,0.703
8,100,0.1,5,5,0.703
9,100,0.01,1,1,0.703
10,100,0.01,1,3,0.703
11,100,0.01,1,5,0.703
12,100,0.01,3,1,0.703
13,100,0.01,3,3,0.703
14,100,0.01,3,5,0.703
15,100,0.01,5,1,0.703
16,100,0.01,5,3,0.703
17,100,0.01,5,5,0.703
18,100,0.001,1,1,0.703
19,100,0.001,1,3,0.703
20,100,0.001,1,5,0.703
21,100,0.001,3,1,0.703
22,100,0.001,3,3,0.703
23,100,0.001,3,5,0.703
24,100,0.001,5,1,0.703
25,100,0.001,5,3,0.703
26,100,0.001,5,5,0.703
27,100,1e-05,1,1,0.322
28,100,1e-05,1,3,0.377
29,100,1e-05,1,5,0.288
30,100,1e-05,3,1,0.278
31,100,1e-05,3,3,0.373
32,100,1e-05,3,5,0.18
33,100,1e-05,5,1,0.113
34,100,1e-05,5,3,0.038
35,100,1e-05,5,5,0.24
36,500,0.1,1,1,0.703
37,500,0.1,1,3,0.703
38,500,0.1,1,5,0.703
39,500,0.1,3,1,0.703
40,500,0.1,3,3,0.703
41,500,0.1,3,5,0.703
42,500,0.1,5,1,0.703
43,500,0.1,5,3,0.703
44,500,0.1,5,5,0.703
45,500,0.01,1,1,0.703
46,500,0.01,1,3,0.703
47,500,0.01,1,5,0.703
48,500,0.01,3,1,0.703
49,500,0.01,3,3,0.703
50,500,0.01,3,5,0.703
51,500,0.01,5,1,0.703
52,500,0.01,5,3,0.703
53,500,0.01,5,5,0.703
54,500,0.001,1,1,0.703
55,500,0.001,1,3,0.703
56,500,0.001,1,5,0.703
57,500,0.001,3,1,0.703
58,500,0.001,3,3,0.703
59,500,0.001,3,5,0.703
60,500,0.001,5,1,0.703
61,500,0.001,5,3,0.703
62,500,0.001,5,5,0.703
63,500,1e-05,1,1,0.635
64,500,1e-05,1,3,0.703
65,500,1e-05,1,5,0.703
66,500,1e-05,3,1,0.703
67,500,1e-05,3,3,0.703
68,500,1e-05,3,5,0.703
69,500,1e-05,5,1,0.703
70,500,1e-05,5,3,0.703
71,500,1e-05,5,5,0.703
72,1000,0.1,1,1,0.703
73,1000,0.1,1,3,0.703
74,1000,0.1,1,5,0.703
75,1000,0.1,3,1,0.703
76,1000,0.1,3,3,0.703
77,1000,0.1,3,5,0.703
78,1000,0.1,5,1,0.703
79,1000,0.1,5,3,0.703
80,1000,0.1,5,5,0.703
81,1000,0.01,1,1,0.703
82,1000,0.01,1,3,0.703
83,1000,0.01,1,5,0.703
84,1000,0.01,3,1,0.703
85,1000,0.01,3,3,0.703
86,1000,0.01,3,5,0.703
87,1000,0.01,5,1,0.703
88,1000,0.01,5,3,0.703
89,1000,0.01,5,5,0.703
90,1000,0.001,1,1,0.703
91,1000,0.001,1,3,0.703
92,1000,0.001,1,5,0.703
93,1000,0.001,3,1,0.703
94,1000,0.001,3,3,0.703
95,1000,0.001,3,5,0.703
96,1000,0.001,5,1,0.703
97,1000,0.001,5,3,0.703
98,1000,0.001,5,5,0.703
99,1000,1e-05,1,1,0.703
100,1000,1e-05,1,3,0.703
101,1000,1e-05,1,5,0.703
102,1000,1e-05,3,1,0.703
103,1000,1e-05,3,3,0.703
104,1000,1e-05,3,5,0.703
105,1000,1e-05,5,1,0.703
106,1000,1e-05,5,3,0.703
107,1000,1e-05,5,5,0.703
