,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
0,100,0.001,1,1,0.487
1,100,0.001,1,3,0.571
2,100,0.001,1,5,0.509
3,100,0.001,1,7,0.654
4,100,0.001,1,9,0.534
5,100,0.001,1,11,0.654
6,100,0.001,1,13,0.513
7,100,0.001,1,15,0.593
8,100,0.001,1,17,0.549
9,100,0.001,1,19,0.654
10,100,0.001,3,1,0.487
11,100,0.001,3,3,0.531
12,100,0.001,3,5,0.553
13,100,0.001,3,7,0.611
14,100,0.001,3,9,0.593
15,100,0.001,3,11,0.593
16,100,0.001,3,13,0.593
17,100,0.001,3,15,0.633
18,100,0.001,3,17,0.574
19,100,0.001,3,19,0.654
20,100,0.001,5,1,0.513
21,100,0.001,5,3,0.549
22,100,0.001,5,5,0.593
23,100,0.001,5,7,0.589
24,100,0.001,5,9,0.571
25,100,0.001,5,11,0.645
26,100,0.001,5,13,0.614
27,100,0.001,5,15,0.614
28,100,0.001,5,17,0.574
29,100,0.001,5,19,0.553
30,100,0.001,7,1,0.506
31,100,0.001,7,3,0.593
32,100,0.001,7,5,0.469
33,100,0.001,7,7,0.614
34,100,0.001,7,9,0.633
35,100,0.001,7,11,0.614
36,100,0.001,7,13,0.571
37,100,0.001,7,15,0.614
38,100,0.001,7,17,0.534
39,100,0.001,7,19,0.614
40,100,0.001,9,1,0.469
41,100,0.001,9,3,0.491
42,100,0.001,9,5,0.621
43,100,0.001,9,7,0.574
44,100,0.001,9,9,0.633
45,100,0.001,9,11,0.553
46,100,0.001,9,13,0.491
47,100,0.001,9,15,0.593
48,100,0.001,9,17,0.654
49,100,0.001,9,19,0.574
50,100,0.001,11,1,0.469
51,100,0.001,11,3,0.447
52,100,0.001,11,5,0.633
53,100,0.001,11,7,0.596
54,100,0.001,11,9,0.614
55,100,0.001,11,11,0.513
56,100,0.001,11,13,0.593
57,100,0.001,11,15,0.571
58,100,0.001,11,17,0.593
59,100,0.001,11,19,0.593
60,100,0.001,13,1,0.531
61,100,0.001,13,3,0.553
62,100,0.001,13,5,0.553
63,100,0.001,13,7,0.571
64,100,0.001,13,9,0.549
65,100,0.001,13,11,0.521
66,100,0.001,13,13,0.598
67,100,0.001,13,15,0.553
68,100,0.001,13,17,0.513
69,100,0.001,13,19,0.654
70,100,0.001,15,1,0.491
71,100,0.001,15,3,0.531
72,100,0.001,15,5,0.509
73,100,0.001,15,7,0.574
74,100,0.001,15,9,0.491
75,100,0.001,15,11,0.593
76,100,0.001,15,13,0.633
77,100,0.001,15,15,0.571
78,100,0.001,15,17,0.591
79,100,0.001,15,19,0.633
80,100,0.001,17,1,0.491
81,100,0.001,17,3,0.564
82,100,0.001,17,5,0.491
83,100,0.001,17,7,0.549
84,100,0.001,17,9,0.611
85,100,0.001,17,11,0.614
86,100,0.001,17,13,0.614
87,100,0.001,17,15,0.593
88,100,0.001,17,17,0.513
89,100,0.001,17,19,0.633
90,100,0.001,19,1,0.589
91,100,0.001,19,3,0.583
92,100,0.001,19,5,0.654
93,100,0.001,19,7,0.491
94,100,0.001,19,9,0.666
