,Max Iter,Eta,Mu,F1
0,500,0.01,0.01,0.175
1,500,0.01,0.258,0.173
2,500,0.01,0.505,0.149
3,500,0.01,0.752,0.146
4,500,0.01,1.0,0.145
5,500,0.258,0.01,0.133
6,500,0.258,0.258,0.13
7,500,0.258,0.505,0.106
8,500,0.258,0.752,0.108
9,500,0.258,1.0,0.058
10,500,0.505,0.01,0.095
11,500,0.505,0.258,0.119
12,500,0.505,0.505,0.015
13,500,0.505,0.752,0.015
14,500,0.505,1.0,0.044
15,500,0.752,0.01,0.135
16,500,0.752,0.258,0.088
17,500,0.752,0.505,0.055
18,500,0.752,0.752,0.03
19,500,0.752,1.0,0.015
20,500,1.0,0.01,0.14
21,500,1.0,0.258,0.058
22,500,1.0,0.505,0.029
23,500,1.0,0.752,0.072
24,500,1.0,1.0,0.0
25,600,0.01,0.01,0.161
26,600,0.01,0.258,0.182
27,600,0.01,0.505,0.149
28,600,0.01,0.752,0.146
29,600,0.01,1.0,0.145
30,600,0.258,0.01,0.133
31,600,0.258,0.258,0.116
32,600,0.258,0.505,0.118
33,600,0.258,0.752,0.076
34,600,0.258,1.0,0.0
35,600,0.505,0.01,0.115
36,600,0.505,0.258,0.091
37,600,0.505,0.505,0.029
38,600,0.505,0.752,0.102
39,600,0.505,1.0,0.029
40,600,0.752,0.01,0.148
41,600,0.752,0.258,0.104
42,600,0.752,0.505,0.033
43,600,0.752,0.752,0.029
44,600,0.752,1.0,0.03
45,600,1.0,0.01,0.14
46,600,1.0,0.258,0.015
47,600,1.0,0.505,0.014
48,600,1.0,0.752,0.044
49,600,1.0,1.0,0.0
50,700,0.01,0.01,0.135
51,700,0.01,0.258,0.174
52,700,0.01,0.505,0.149
53,700,0.01,0.752,0.146
54,700,0.01,1.0,0.145
55,700,0.258,0.01,0.133
56,700,0.258,0.258,0.097
57,700,0.258,0.505,0.14
58,700,0.258,0.752,0.122
59,700,0.258,1.0,0.0
60,700,0.505,0.01,0.095
61,700,0.505,0.258,0.147
62,700,0.505,0.505,0.015
63,700,0.505,0.752,0.029
64,700,0.505,1.0,0.03
65,700,0.752,0.01,0.143
66,700,0.752,0.258,0.104
67,700,0.752,0.505,0.036
68,700,0.752,0.752,0.044
69,700,0.752,1.0,0.015
70,700,1.0,0.01,0.123
71,700,1.0,0.258,0.015
72,700,1.0,0.505,0.014
73,700,1.0,0.752,0.059
74,700,1.0,1.0,0.0
