,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
0,100,0.001,1,1,0.193
1,100,0.001,1,3,0.32
2,100,0.001,1,5,0.517
3,100,0.001,1,7,0.401
4,100,0.001,1,9,0.446
5,100,0.001,1,11,0.458
6,100,0.001,1,13,0.459
7,100,0.001,1,15,0.577
8,100,0.001,3,1,0.361
9,100,0.001,3,3,0.421
10,100,0.001,3,5,0.425
11,100,0.001,3,7,0.424
12,100,0.001,3,9,0.327
13,100,0.001,3,11,0.526
14,100,0.001,3,13,0.602
15,100,0.001,3,15,0.639
16,100,0.001,5,1,0.408
17,100,0.001,5,3,0.342
18,100,0.001,5,5,0.5
19,100,0.001,5,7,0.474
20,100,0.001,5,9,0.406
21,100,0.001,5,11,0.373
22,100,0.001,5,13,0.586
23,100,0.001,5,15,0.326
24,100,0.001,7,1,0.377
25,100,0.001,7,3,0.438
26,100,0.001,7,5,0.37
27,100,0.001,7,7,0.428
28,100,0.001,7,9,0.51
29,100,0.001,7,11,0.377
30,100,0.001,7,13,0.377
31,100,0.001,7,15,0.584
32,100,0.001,9,1,0.187
33,100,0.001,9,3,0.192
34,100,0.001,9,5,0.244
35,100,0.001,9,7,0.256
36,100,0.001,9,9,0.524
37,100,0.001,9,11,0.444
38,100,0.001,9,13,0.492
39,100,0.001,9,15,0.593
40,100,0.001,11,1,0.34
41,100,0.001,11,3,0.292
42,100,0.001,11,5,0.346
43,100,0.001,11,7,0.458
44,100,0.001,11,9,0.63
45,100,0.001,11,11,0.556
46,100,0.001,11,13,0.503
47,100,0.001,11,15,0.463
48,100,0.001,13,1,0.323
49,100,0.001,13,3,0.49
50,100,0.001,13,5,0.439
51,100,0.001,13,7,0.44
52,100,0.001,13,9,0.437
53,100,0.001,13,11,0.589
54,100,0.001,13,13,0.331
55,100,0.001,13,15,0.637
56,100,0.001,15,1,0.387
57,100,0.001,15,3,0.356
58,100,0.001,15,5,0.256
59,100,0.001,15,7,0.202
60,100,0.001,15,9,0.466
61,100,0.001,15,11,0.359
62,100,0.001,15,13,0.34
63,100,0.001,15,15,0.495
64,100,0.0001,1,1,0.337
65,100,0.0001,1,3,0.278
66,100,0.0001,1,5,0.272
67,100,0.0001,1,7,0.227
68,100,0.0001,1,9,0.345
69,100,0.0001,1,11,0.244
70,100,0.0001,1,13,0.32
71,100,0.0001,1,15,0.264
72,100,0.0001,3,1,0.178
73,100,0.0001,3,3,0.207
74,100,0.0001,3,5,0.178
75,100,0.0001,3,7,0.244
76,100,0.0001,3,9,0.31
77,100,0.0001,3,11,0.384
78,100,0.0001,3,13,0.209
79,100,0.0001,3,15,0.424
80,100,0.0001,5,1,0.078
81,100,0.0001,5,3,0.158
82,100,0.0001,5,5,0.192
83,100,0.0001,5,7,0.131
84,100,0.0001,5,9,0.206
85,100,0.0001,5,11,0.412
86,100,0.0001,5,13,0.32
87,100,0.0001,5,15,0.295
