,Max Iter,Alpha,Num Node 1,Num Node 2,MSE
0,100,0.001,1,1,1.527
1,100,0.001,1,3,1.398
2,100,0.001,1,5,1.504
3,100,0.001,1,7,1.773
4,100,0.001,1,9,1.853
5,100,0.001,1,11,1.449
6,100,0.001,1,13,1.777
7,100,0.001,1,15,1.769
8,100,0.001,1,17,1.579
9,100,0.001,1,19,1.931
10,100,0.001,1,21,1.639
11,100,0.001,3,1,3.143
12,100,0.001,3,3,2.356
13,100,0.001,3,5,2.93
14,100,0.001,3,7,2.901
15,100,0.001,3,9,2.576
16,100,0.001,3,11,2.272
17,100,0.001,3,13,3.155
18,100,0.001,3,15,2.4
19,100,0.001,3,17,2.31
20,100,0.001,3,19,2.763
21,100,0.001,3,21,2.296
22,100,0.001,5,1,
23,100,0.001,5,3,
24,100,0.001,5,5,
25,100,0.001,5,7,
26,100,0.001,5,9,
27,100,0.001,5,11,
28,100,0.001,5,13,
29,100,0.001,5,15,
30,100,0.001,5,17,
31,100,0.001,5,19,
32,100,0.001,5,21,
33,100,0.001,7,1,
34,100,0.001,7,3,
35,100,0.001,7,5,
36,100,0.001,7,7,
37,100,0.001,7,9,
38,100,0.001,7,11,
39,100,0.001,7,13,
40,100,0.001,7,15,
41,100,0.001,7,17,
42,100,0.001,7,19,
43,100,0.001,7,21,
44,100,0.001,9,1,
45,100,0.001,9,3,
46,100,0.001,9,5,
47,100,0.001,9,7,
48,100,0.001,9,9,
49,100,0.001,9,11,
50,100,0.001,9,13,
51,100,0.001,9,15,
52,100,0.001,9,17,
53,100,0.001,9,19,
54,100,0.001,9,21,
55,100,0.001,11,1,
56,100,0.001,11,3,
57,100,0.001,11,5,
58,100,0.001,11,7,
59,100,0.001,11,9,
60,100,0.001,11,11,
61,100,0.001,11,13,
62,100,0.001,11,15,
63,100,0.001,11,17,
64,100,0.001,11,19,
65,100,0.001,11,21,
66,100,0.001,13,1,
67,100,0.001,13,3,
68,100,0.001,13,5,
69,100,0.001,13,7,
70,100,0.001,13,9,
71,100,0.001,13,11,
72,100,0.001,13,13,
73,100,0.001,13,15,
74,100,0.001,13,17,
75,100,0.001,13,19,
76,100,0.001,13,21,
77,100,0.001,15,1,
78,100,0.001,15,3,
79,100,0.001,15,5,
80,100,0.001,15,7,
81,100,0.001,15,9,
82,100,0.001,15,11,
83,100,0.001,15,13,
84,100,0.001,15,15,
85,100,0.001,15,17,
86,100,0.001,15,19,
87,100,0.001,15,21,
88,100,0.001,17,1,
89,100,0.001,17,3,
90,100,0.001,17,5,
91,100,0.001,17,7,
92,100,0.001,17,9,
93,100,0.001,17,11,
94,100,0.001,17,13,
95,100,0.001,17,15,
96,100,0.001,17,17,
97,100,0.001,17,19,
98,100,0.001,17,21,
99,100,0.001,19,1,
100,100,0.001,19,3,
101,100,0.001,19,5,
102,100,0.001,19,7,
103,100,0.001,19,9,
104,100,0.001,19,11,
105,100,0.001,19,13,
106,100,0.001,19,15,
107,100,0.001,19,17,
108,100,0.001,19,19,
109,100,0.001,19,21,
110,100,0.001,21,1,
111,100,0.001,21,3,
112,100,0.001,21,5,
113,100,0.001,21,7,
114,100,0.001,21,9,
115,100,0.001,21,11,
116,100,0.001,21,13,
117,100,0.001,21,15,
118,100,0.001,21,17,
119,100,0.001,21,19,
120,100,0.001,21,21,
121,100,0.0001,1,1,1.782
122,100,0.0001,1,3,1.67
123,100,0.0001,1,5,1.74
124,100,0.0001,1,7,1.7
125,100,0.0001,1,9,1.717
126,100,0.0001,1,11,2.006
127,100,0.0001,1,13,1.591
128,100,0.0001,1,15,1.671
129,100,0.0001,1,17,1.367
130,100,0.0001,1,19,1.813
131,100,0.0001,1,21,1.753
132,100,0.0001,3,1,2.88
133,100,0.0001,3,3,2.692
134,100,0.0001,3,5,2.837
135,100,0.0001,3,7,2.788
136,100,0.0001,3,9,2.289
137,100,0.0001,3,11,2.486
138,100,0.0001,3,13,2.377
139,100,0.0001,3,15,2.741
140,100,0.0001,3,17,3.113
141,100,0.0001,3,19,2.172
142,100,0.0001,3,21,2.667
143,100,0.0001,5,1,3.955
144,100,0.0001,5,3,4.5
145,100,0.0001,5,5,3.752
146,100,0.0001,5,7,3.24
147,100,0.0001,5,9,4.33
148,100,0.0001,5,11,4.626
149,100,0.0001,5,13,4.171
150,100,0.0001,5,15,3.553
151,100,0.0001,5,17,4.43
152,100,0.0001,5,19,3.847
153,100,0.0001,5,21,4.331
154,100,0.0001,7,1,6.626
155,100,0.0001,7,3,6.399
156,100,0.0001,7,5,6.889
157,100,0.0001,7,7,6.531
158,100,0.0001,7,9,5.131
159,100,0.0001,7,11,6.66
160,100,0.0001,7,13,7.06
161,100,0.0001,7,15,6.267
162,100,0.0001,7,17,7.686
163,100,0.0001,7,19,5.628
164,100,0.0001,7,21,5.754
165,100,0.0001,9,1,
166,100,0.0001,9,3,8.76
167,100,0.0001,9,5,
168,100,0.0001,9,7,
169,100,0.0001,9,9,9.726
170,100,0.0001,9,11,8.412
171,100,0.0001,9,13,
172,100,0.0001,9,15,
173,100,0.0001,9,17,8.506
174,100,0.0001,9,19,8.936
175,100,0.0001,9,21,11.455
176,100,0.0001,11,1,
177,100,0.0001,11,3,
178,100,0.0001,11,5,
179,100,0.0001,11,7,
180,100,0.0001,11,9,
181,100,0.0001,11,11,
182,100,0.0001,11,13,
183,100,0.0001,11,15,
184,100,0.0001,11,17,
185,100,0.0001,11,19,
186,100,0.0001,11,21,
187,100,0.0001,13,1,
188,100,0.0001,13,3,
189,100,0.0001,13,5,
190,100,0.0001,13,7,
191,100,0.0001,13,9,
192,100,0.0001,13,11,
193,100,0.0001,13,13,
194,100,0.0001,13,15,
195,100,0.0001,13,17,
196,100,0.0001,13,19,
197,100,0.0001,13,21,
198,100,0.0001,15,1,
199,100,0.0001,15,3,
200,100,0.0001,15,5,
201,100,0.0001,15,7,
202,100,0.0001,15,9,
203,100,0.0001,15,11,
204,100,0.0001,15,13,
205,100,0.0001,15,15,
206,100,0.0001,15,17,
207,100,0.0001,15,19,
208,100,0.0001,15,21,
209,100,0.0001,17,1,
210,100,0.0001,17,3,
211,100,0.0001,17,5,
212,100,0.0001,17,7,
213,100,0.0001,17,9,
214,100,0.0001,17,11,
215,100,0.0001,17,13,
216,100,0.0001,17,15,
217,100,0.0001,17,17,
218,100,0.0001,17,19,
219,100,0.0001,17,21,
220,100,0.0001,19,1,
221,100,0.0001,19,3,
222,100,0.0001,19,5,
223,100,0.0001,19,7,
224,100,0.0001,19,9,
225,100,0.0001,19,11,
226,100,0.0001,19,13,
227,100,0.0001,19,15,
228,100,0.0001,19,17,
229,100,0.0001,19,19,
230,100,0.0001,19,21,
231,100,0.0001,21,1,
232,100,0.0001,21,3,
233,100,0.0001,21,5,
234,100,0.0001,21,7,
235,100,0.0001,21,9,
236,100,0.0001,21,11,
237,100,0.0001,21,13,
238,100,0.0001,21,15,
239,100,0.0001,21,17,
240,100,0.0001,21,19,
241,100,0.0001,21,21,
242,100,1e-05,1,1,1.773
243,100,1e-05,1,3,1.607
244,100,1e-05,1,5,1.591
245,100,1e-05,1,7,1.421
246,100,1e-05,1,9,1.708
247,100,1e-05,1,11,1.767
248,100,1e-05,1,13,1.65
249,100,1e-05,1,15,1.823
250,100,1e-05,1,17,1.596
251,100,1e-05,1,19,1.658
252,100,1e-05,1,21,1.705
253,100,1e-05,3,1,2.585
254,100,1e-05,3,3,3.128
255,100,1e-05,3,5,2.72
256,100,1e-05,3,7,3.075
257,100,1e-05,3,9,2.543
258,100,1e-05,3,11,2.542
259,100,1e-05,3,13,2.686
260,100,1e-05,3,15,2.336
261,100,1e-05,3,17,2.243
262,100,1e-05,3,19,2.78
263,100,1e-05,3,21,2.473
264,100,1e-05,5,1,3.859
265,100,1e-05,5,3,3.892
266,100,1e-05,5,5,4.393
267,100,1e-05,5,7,3.41
268,100,1e-05,5,9,4.082
269,100,1e-05,5,11,4.615
270,100,1e-05,5,13,4.177
271,100,1e-05,5,15,4.273
272,100,1e-05,5,17,4.306
273,100,1e-05,5,19,4.779
274,100,1e-05,5,21,4.551
275,100,1e-05,7,1,5.922
276,100,1e-05,7,3,6.646
277,100,1e-05,7,5,7.354
278,100,1e-05,7,7,5.488
279,100,1e-05,7,9,6.244
280,100,1e-05,7,11,5.71
281,100,1e-05,7,13,6.396
282,100,1e-05,7,15,6.24
283,100,1e-05,7,17,6.656
284,100,1e-05,7,19,6.228
285,100,1e-05,7,21,6.34
286,100,1e-05,9,1,8.532
287,100,1e-05,9,3,8.184
288,100,1e-05,9,5,7.717
289,100,1e-05,9,7,10.015
290,100,1e-05,9,9,8.722
291,100,1e-05,9,11,7.892
292,100,1e-05,9,13,7.103
293,100,1e-05,9,15,8.561
294,100,1e-05,9,17,8.719
295,100,1e-05,9,19,7.929
296,100,1e-05,9,21,7.888
297,100,1e-05,11,1,11.972
298,100,1e-05,11,3,10.481
299,100,1e-05,11,5,13.811
300,100,1e-05,11,7,11.295
301,100,1e-05,11,9,13.686
302,100,1e-05,11,11,13.002
303,100,1e-05,11,13,10.927
304,100,1e-05,11,15,11.784
305,100,1e-05,11,17,14.71
306,100,1e-05,11,19,11.871
307,100,1e-05,11,21,13.07
308,100,1e-05,13,1,15.213
309,100,1e-05,13,3,17.82
310,100,1e-05,13,5,15.085
311,100,1e-05,13,7,17.757
312,100,1e-05,13,9,18.336
313,100,1e-05,13,11,15.0
