,Max Iter,Eta,MSE
0,100,0.001,0.988
1,100,0.112,1.409
2,100,0.223,1.421
3,100,0.334,1.749314764891274e+54
4,100,0.445,6.514561115762057e+89
5,100,0.556,9.494658842795747e+114
6,100,0.667,2.916214503246484e+134
7,100,0.778,2.3508383711365067e+150
8,100,0.889,6.466303683636301e+163
9,100,1.0,2.7962957732924084e+175
10,200,0.001,0.996
11,200,0.112,1.421
12,200,0.223,1.421
13,200,0.334,3.661504406628454e+110
14,200,0.445,5.078014809004398e+181
15,200,0.556,1.0786545173692106e+232
16,200,0.667,1.0175659559509768e+271
17,200,0.778,6.612553201652444e+302
18,200,0.889,inf
19,200,1.0,inf
20,300,0.001,1.009
21,300,0.112,1.421
22,300,0.223,1.421
23,300,0.334,7.663923490975044e+166
24,300,0.445,3.958245834562493e+273
25,300,0.556,inf
26,300,0.667,inf
27,300,0.778,inf
28,300,0.889,inf
29,300,1.0,inf
30,400,0.001,1.024
31,400,0.112,1.421
32,400,0.223,1.421
33,400,0.334,1.6041418158391143e+223
34,400,0.445,inf
35,400,0.556,inf
36,400,0.667,inf
37,400,0.778,inf
38,400,0.889,
39,400,1.0,
40,500,0.001,1.04
41,500,0.112,1.421
42,500,0.223,1.421
43,500,0.334,3.3576417723296693e+279
44,500,0.445,inf
45,500,0.556,inf
46,500,0.667,
47,500,0.778,
48,500,0.889,
49,500,1.0,
50,600,0.001,1.056
51,600,0.112,1.421
52,600,0.223,1.421
53,600,0.334,inf
54,600,0.445,inf
55,600,0.556,
56,600,0.667,
57,600,0.778,
58,600,0.889,
59,600,1.0,
60,700,0.001,1.073
61,700,0.112,1.421
62,700,0.223,1.421
63,700,0.334,inf
64,700,0.445,
65,700,0.556,
66,700,0.667,
67,700,0.778,
68,700,0.889,
69,700,1.0,
