,Max Iter,Alpha,Num Node 1,Num Node 2,MSE
0,100,0.1,1,1,
1,100,0.1,1,3,
2,100,0.1,1,5,
3,100,0.1,1,7,
4,100,0.1,1,9,
5,100,0.1,1,11,
6,100,0.1,3,1,
7,100,0.1,3,3,
8,100,0.1,3,5,
9,100,0.1,3,7,
10,100,0.1,3,9,
11,100,0.1,3,11,
12,100,0.1,5,1,
13,100,0.1,5,3,
14,100,0.1,5,5,
15,100,0.1,5,7,
16,100,0.1,5,9,
17,100,0.1,5,11,
18,100,0.1,7,1,
19,100,0.1,7,3,
20,100,0.1,7,5,
21,100,0.1,7,7,
22,100,0.1,7,9,
23,100,0.1,7,11,
24,100,0.1,9,1,
25,100,0.1,9,3,
26,100,0.1,9,5,
27,100,0.1,9,7,
28,100,0.1,9,9,
29,100,0.1,9,11,
30,100,0.1,11,1,
31,100,0.1,11,3,
32,100,0.1,11,5,
33,100,0.1,11,7,
34,100,0.1,11,9,
35,100,0.1,11,11,
36,100,0.01,1,1,1.363
37,100,0.01,1,3,1.792
38,100,0.01,1,5,
39,100,0.01,1,7,
40,100,0.01,1,9,5.975
41,100,0.01,1,11,
42,100,0.01,3,1,1.468
43,100,0.01,3,3,
44,100,0.01,3,5,
45,100,0.01,3,7,
46,100,0.01,3,9,
47,100,0.01,3,11,
48,100,0.01,5,1,
49,100,0.01,5,3,
50,100,0.01,5,5,
51,100,0.01,5,7,
52,100,0.01,5,9,
53,100,0.01,5,11,
54,100,0.01,7,1,
55,100,0.01,7,3,
56,100,0.01,7,5,
57,100,0.01,7,7,
58,100,0.01,7,9,
59,100,0.01,7,11,
60,100,0.01,9,1,
61,100,0.01,9,3,
62,100,0.01,9,5,
63,100,0.01,9,7,
64,100,0.01,9,9,
65,100,0.01,9,11,
66,100,0.01,11,1,
67,100,0.01,11,3,
68,100,0.01,11,5,
69,100,0.01,11,7,
70,100,0.01,11,9,
71,100,0.01,11,11,
72,100,0.001,1,1,1.392
73,100,0.001,1,3,2.527
74,100,0.001,1,5,3.059
75,100,0.001,1,7,3.865
76,100,0.001,1,9,6.552
77,100,0.001,1,11,5.98
78,100,0.001,3,1,1.472
79,100,0.001,3,3,1.927
80,100,0.001,3,5,2.294
81,100,0.001,3,7,3.593
82,100,0.001,3,9,3.756
83,100,0.001,3,11,
84,100,0.001,5,1,1.427
85,100,0.001,5,3,
86,100,0.001,5,5,
87,100,0.001,5,7,
88,100,0.001,5,9,
89,100,0.001,5,11,
90,100,0.001,7,1,1.622
91,100,0.001,7,3,
92,100,0.001,7,5,
93,100,0.001,7,7,
94,100,0.001,7,9,
95,100,0.001,7,11,
96,100,0.001,9,1,
97,100,0.001,9,3,
98,100,0.001,9,5,
99,100,0.001,9,7,
100,100,0.001,9,9,
101,100,0.001,9,11,
102,100,0.001,11,1,
103,100,0.001,11,3,
104,100,0.001,11,5,
105,100,0.001,11,7,
106,100,0.001,11,9,
107,100,0.001,11,11,
