,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
0,100,0.001,1,1,0.616
1,100,0.001,1,11,0.616
2,100,0.001,1,21,0.616
3,100,0.001,1,31,0.616
4,100,0.001,1,41,0.616
5,100,0.001,11,1,0.616
6,100,0.001,11,11,0.616
7,100,0.001,11,21,0.616
8,100,0.001,11,31,0.616
9,100,0.001,11,41,0.616
10,100,0.001,21,1,0.616
11,100,0.001,21,11,0.616
12,100,0.001,21,21,0.616
13,100,0.001,21,31,0.616
14,100,0.001,21,41,0.616
15,100,0.001,31,1,0.616
16,100,0.001,31,11,0.616
17,100,0.001,31,21,0.616
18,100,0.001,31,31,0.616
19,100,0.001,31,41,0.616
20,100,0.001,41,1,0.616
21,100,0.001,41,11,0.616
22,100,0.001,41,21,0.616
23,100,0.001,41,31,0.616
24,100,0.001,41,41,0.616
25,100,0.0001,1,1,0.616
26,100,0.0001,1,11,0.616
27,100,0.0001,1,21,0.616
28,100,0.0001,1,31,0.616
29,100,0.0001,1,41,0.616
30,100,0.0001,11,1,0.616
31,100,0.0001,11,11,0.616
32,100,0.0001,11,21,0.616
33,100,0.0001,11,31,0.616
34,100,0.0001,11,41,0.616
35,100,0.0001,21,1,0.616
36,100,0.0001,21,11,0.616
37,100,0.0001,21,21,0.616
38,100,0.0001,21,31,0.616
39,100,0.0001,21,41,0.616
40,100,0.0001,31,1,0.616
41,100,0.0001,31,11,0.616
42,100,0.0001,31,21,0.616
43,100,0.0001,31,31,0.616
44,100,0.0001,31,41,0.616
45,100,0.0001,41,1,0.616
46,100,0.0001,41,11,0.616
47,100,0.0001,41,21,0.616
48,100,0.0001,41,31,0.616
49,100,0.0001,41,41,0.616
50,100,1e-05,1,1,0.498
51,100,1e-05,1,11,0.481
52,100,1e-05,1,21,0.512
53,100,1e-05,1,31,0.456
54,100,1e-05,1,41,0.519
55,100,1e-05,11,1,0.591
56,100,1e-05,11,11,0.523
57,100,1e-05,11,21,0.57
58,100,1e-05,11,31,0.57
59,100,1e-05,11,41,0.57
60,100,1e-05,21,1,0.591
61,100,1e-05,21,11,0.595
62,100,1e-05,21,21,0.565
63,100,1e-05,21,31,0.544
64,100,1e-05,21,41,0.595
65,100,1e-05,31,1,0.616
66,100,1e-05,31,11,0.565
67,100,1e-05,31,21,0.591
