,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
20,100,0.001,21,61,0.616
79,100,0.0001,41,21,0.616
168,100,1.00E-07,31,1,0.616
197,500,0.001,1,11,0.616
198,500,0.001,1,21,0.616
199,500,0.001,1,31,0.616
200,500,0.001,1,41,0.616
201,500,0.001,1,51,0.616
202,500,0.001,1,61,0.616
204,500,0.001,11,11,0.616
205,500,0.001,11,21,0.616
206,500,0.001,11,31,0.616
207,500,0.001,11,41,0.616
208,500,0.001,11,51,0.616
209,500,0.001,11,61,0.616
212,500,0.001,21,21,0.616
213,500,0.001,21,31,0.616
214,500,0.001,21,41,0.616
215,500,0.001,21,51,0.616
216,500,0.001,21,61,0.616
219,500,0.001,31,21,0.616
220,500,0.001,31,31,0.616
221,500,0.001,31,41,0.616
222,500,0.001,31,51,0.616
223,500,0.001,31,61,0.616
225,500,0.001,41,11,0.616
226,500,0.001,41,21,0.616
227,500,0.001,41,31,0.616
228,500,0.001,41,41,0.616
229,500,0.001,41,51,0.616
230,500,0.001,41,61,0.616
232,500,0.001,51,11,0.616
233,500,0.001,51,21,0.616
234,500,0.001,51,31,0.616
235,500,0.001,51,41,0.616
236,500,0.001,51,51,0.616
237,500,0.001,51,61,0.616
240,500,0.001,61,21,0.616
241,500,0.001,61,31,0.616
242,500,0.001,61,41,0.616
243,500,0.001,61,51,0.616
244,500,0.001,61,61,0.616
393,1000,0.001,1,11,0.616
394,1000,0.001,1,21,0.616
395,1000,0.001,1,31,0.616
396,1000,0.001,1,41,0.616
397,1000,0.001,1,51,0.616
398,1000,0.001,1,61,0.616
399,1000,0.001,11,1,0.616
400,1000,0.001,11,11,0.616
401,1000,0.001,11,21,0.616
402,1000,0.001,11,31,0.616
403,1000,0.001,11,41,0.616
404,1000,0.001,11,51,0.616
405,1000,0.001,11,61,0.616
406,1000,0.001,21,1,0.616
407,1000,0.001,21,11,0.616
408,1000,0.001,21,21,0.616
409,1000,0.001,21,31,0.616
410,1000,0.001,21,41,0.616
411,1000,0.001,21,51,0.616
412,1000,0.001,21,61,0.616
413,1000,0.001,31,1,0.616
414,1000,0.001,31,11,0.616
415,1000,0.001,31,21,0.616
416,1000,0.001,31,31,0.616
417,1000,0.001,31,41,0.616
418,1000,0.001,31,51,0.616
419,1000,0.001,31,61,0.616
421,1000,0.001,41,11,0.616
422,1000,0.001,41,21,0.616
423,1000,0.001,41,31,0.616
424,1000,0.001,41,41,0.616
425,1000,0.001,41,51,0.616
426,1000,0.001,41,61,0.616
428,1000,0.001,51,11,0.616
429,1000,0.001,51,21,0.616
430,1000,0.001,51,31,0.616
431,1000,0.001,51,41,0.616
432,1000,0.001,51,51,0.616
433,1000,0.001,51,61,0.616
434,1000,0.001,61,1,0.616
435,1000,0.001,61,11,0.616
436,1000,0.001,61,21,0.616
437,1000,0.001,61,31,0.616
438,1000,0.001,61,41,0.616
439,1000,0.001,61,51,0.616
440,1000,0.001,61,61,0.616
459,1000,0.0001,21,41,0.616
460,1000,0.0001,21,51,0.616
487,1000,0.0001,61,41,0.616
522,1000,1.00E-05,41,41,0.607
444,1000,0.0001,1,31,0.6
4,100,0.001,1,41,0.595
23,100,0.001,31,21,0.595
117,100,1.00E-05,21,51,0.595
309,500,1.00E-05,21,11,0.595
446,1000,0.0001,1,51,0.595
458,1000,0.0001,21,31,0.595
468,1000,0.0001,31,61,0.595
481,1000,0.0001,51,51,0.595
587,1000,1.00E-07,61,61,0.595
6,100,0.001,1,61,0.591
12,100,0.001,11,51,0.591
211,500,0.001,21,11,0.591
218,500,0.001,31,11,0.591
224,500,0.001,41,1,0.591
239,500,0.001,61,11,0.591
265,500,0.0001,21,61,0.591
385,500,1.00E-07,61,1,0.591
392,1000,0.001,1,1,0.591
420,1000,0.001,41,1,0.591
427,1000,0.001,51,1,0.591
454,1000,0.0001,11,61,0.591
461,1000,0.0001,21,61,0.591
473,1000,0.0001,41,41,0.591
495,1000,1.00E-05,1,51,0.591
5,100,0.001,1,51,0.581
3,100,0.001,1,31,0.574
31,100,0.001,41,31,0.574
173,100,1.00E-07,31,51,0.574
203,500,0.001,11,1,0.574
251,500,0.0001,1,61,0.574
374,500,1.00E-07,41,31,0.574
521,1000,1.00E-05,41,31,0.574
1,100,0.001,1,11,0.57
10,100,0.001,11,31,0.57
17,100,0.001,21,31,0.57
27,100,0.001,31,61,0.57
32,100,0.001,41,41,0.57
33,100,0.001,41,51,0.57
37,100,0.001,51,21,0.57
43,100,0.001,61,11,0.57
48,100,0.001,61,61,0.57
113,100,1.00E-05,21,11,0.57
196,500,0.001,1,1,0.57
210,500,0.001,21,1,0.57
248,500,0.0001,1,31,0.57
249,500,0.0001,1,41,0.57
266,500,0.0001,31,1,0.57
268,500,0.0001,31,21,0.57
272,500,0.0001,31,61,0.57
353,500,1.00E-07,11,31,0.57
357,500,1.00E-07,21,1,0.57
452,1000,0.0001,11,41,0.57
470,1000,0.0001,41,11,0.57
