,Max Iter,Alpha,Num Node 1,Num Node 2,MSE
0,100,0.001,1,1,
1,100,0.001,1,6,
2,100,0.001,1,11,
3,100,0.001,1,16,
4,100,0.001,1,21,
5,100,0.001,1,26,
6,100,0.001,1,31,1.727
7,100,0.001,1,36,
8,100,0.001,1,41,
9,100,0.001,1,46,
10,100,0.001,6,1,
11,100,0.001,6,6,
12,100,0.001,6,11,
13,100,0.001,6,16,
14,100,0.001,6,21,
15,100,0.001,6,26,
16,100,0.001,6,31,
17,100,0.001,6,36,
18,100,0.001,6,41,
19,100,0.001,6,46,
20,100,0.001,11,1,
21,100,0.001,11,6,
22,100,0.001,11,11,
23,100,0.001,11,16,
24,100,0.001,11,21,
25,100,0.001,11,26,
26,100,0.001,11,31,
27,100,0.001,11,36,
28,100,0.001,11,41,
29,100,0.001,11,46,
30,100,0.001,16,1,
31,100,0.001,16,6,
32,100,0.001,16,11,
33,100,0.001,16,16,
34,100,0.001,16,21,
35,100,0.001,16,26,
36,100,0.001,16,31,
37,100,0.001,16,36,
38,100,0.001,16,41,
39,100,0.001,16,46,
40,100,0.001,21,1,
41,100,0.001,21,6,
42,100,0.001,21,11,
43,100,0.001,21,16,
44,100,0.001,21,21,
45,100,0.001,21,26,
46,100,0.001,21,31,
47,100,0.001,21,36,
48,100,0.001,21,41,
49,100,0.001,21,46,
50,100,0.001,26,1,
51,100,0.001,26,6,
52,100,0.001,26,11,
53,100,0.001,26,16,
54,100,0.001,26,21,
55,100,0.001,26,26,
56,100,0.001,26,31,
57,100,0.001,26,36,
58,100,0.001,26,41,
59,100,0.001,26,46,
60,100,0.001,31,1,
61,100,0.001,31,6,
62,100,0.001,31,11,
63,100,0.001,31,16,
64,100,0.001,31,21,
65,100,0.001,31,26,
66,100,0.001,31,31,
67,100,0.001,31,36,
68,100,0.001,31,41,
69,100,0.001,31,46,
70,100,0.001,36,1,
71,100,0.001,36,6,
72,100,0.001,36,11,
73,100,0.001,36,16,
74,100,0.001,36,21,
75,100,0.001,36,26,
76,100,0.001,36,31,
77,100,0.001,36,36,
78,100,0.001,36,41,
79,100,0.001,36,46,
80,100,0.0001,1,1,1.908
81,100,0.0001,1,6,1.809
82,100,0.0001,1,11,2.106
83,100,0.0001,1,16,1.752
84,100,0.0001,1,21,1.99
85,100,0.0001,1,26,1.78
86,100,0.0001,1,31,1.799
87,100,0.0001,1,36,1.682
88,100,0.0001,1,41,1.719
89,100,0.0001,1,46,1.926
90,100,0.0001,6,1,
91,100,0.0001,6,6,
92,100,0.0001,6,11,
93,100,0.0001,6,16,
94,100,0.0001,6,21,
95,100,0.0001,6,26,
96,100,0.0001,6,31,
