,Max Iter,Eta,MSE
0,100,0.001,0.351
1,100,0.112,0.249
2,100,0.223,2.51E+67
3,100,0.334,5.73E+114
4,100,0.445,1.71E+145
5,100,0.556,5.61E+167
6,100,0.667,4.10E+185
7,100,0.778,2.65E+200
8,100,0.889,1.18E+213
9,100,1,1.29E+224
10,200,0.001,0.247
11,200,0.112,0.253
12,200,0.223,3.20E+135
13,200,0.334,1.66E+230
14,200,0.445,1.48E+291
15,200,0.556,inf
16,200,0.667,inf
17,200,0.778,inf
18,200,0.889,inf
19,200,1,inf
20,300,0.001,0.227
21,300,0.112,0.255
22,300,0.223,4.07E+203
23,300,0.334,inf
24,300,0.445,inf
25,300,0.556,inf
26,300,0.667,inf
27,300,0.778,inf
28,300,0.889,
29,300,1,
30,400,0.001,0.223
31,400,0.112,0.258
32,400,0.223,5.17E+271
33,400,0.334,inf
34,400,0.445,inf
35,400,0.556,
36,400,0.667,
37,400,0.778,
38,400,0.889,
39,400,1,
40,500,0.001,0.223
41,500,0.112,0.263
42,500,0.223,inf
43,500,0.334,inf
44,500,0.445,
45,500,0.556,
46,500,0.667,
47,500,0.778,
48,500,0.889,
49,500,1,
50,600,0.001,0.224
51,600,0.112,0.268
52,600,0.223,inf
53,600,0.334,
54,600,0.445,
55,600,0.556,
56,600,0.667,
57,600,0.778,
58,600,0.889,
59,600,1,
60,700,0.001,0.225
61,700,0.112,0.272
62,700,0.223,inf
63,700,0.334,
64,700,0.445,
65,700,0.556,
66,700,0.667,
67,700,0.778,
68,700,0.889,
69,700,1,
