,Max Iter,Alpha,Num Node 1,Num Node 2,MSE
0,100,0.1,1,1,
1,100,0.1,1,11,
2,100,0.1,1,21,
3,100,0.1,1,31,
4,100,0.1,11,1,
5,100,0.1,11,11,
6,100,0.1,11,21,
7,100,0.1,11,31,
8,100,0.1,21,1,
9,100,0.1,21,11,
10,100,0.1,21,21,
11,100,0.1,21,31,
12,100,0.1,31,1,
13,100,0.1,31,11,
14,100,0.1,31,21,
15,100,0.1,31,31,
16,100,0.01,1,1,1.511
17,100,0.01,1,11,
18,100,0.01,1,21,
19,100,0.01,1,31,
20,100,0.01,11,1,
21,100,0.01,11,11,
22,100,0.01,11,21,
23,100,0.01,11,31,
24,100,0.01,21,1,
25,100,0.01,21,11,
26,100,0.01,21,21,
27,100,0.01,21,31,
28,100,0.01,31,1,
29,100,0.01,31,11,
30,100,0.01,31,21,
31,100,0.01,31,31,
32,100,0.001,1,1,1.602
33,100,0.001,1,11,5.498
34,100,0.001,1,21,14.368
35,100,0.001,1,31,
36,100,0.001,11,1,
37,100,0.001,11,11,
38,100,0.001,11,21,
39,100,0.001,11,31,
40,100,0.001,21,1,
41,100,0.001,21,11,
42,100,0.001,21,21,
43,100,0.001,21,31,
44,100,0.001,31,1,
45,100,0.001,31,11,
46,100,0.001,31,21,
47,100,0.001,31,31,
48,100,1e-05,1,1,1.482
49,100,1e-05,1,11,7.193
50,100,1e-05,1,21,15.082
51,100,1e-05,1,31,32.16
52,100,1e-05,11,1,1.297
53,100,1e-05,11,11,1.346
54,100,1e-05,11,21,2.499
55,100,1e-05,11,31,4.104
56,100,1e-05,21,1,1.302
57,100,1e-05,21,11,0.908
58,100,1e-05,21,21,1.22
59,100,1e-05,21,31,1.87
60,100,1e-05,31,1,1.332
61,100,1e-05,31,11,0.744
62,100,1e-05,31,21,0.906
63,100,1e-05,31,31,
64,500,0.1,1,1,
65,500,0.1,1,11,
66,500,0.1,1,21,
67,500,0.1,1,31,
68,500,0.1,11,1,
69,500,0.1,11,11,
70,500,0.1,11,21,
71,500,0.1,11,31,
72,500,0.1,21,1,
73,500,0.1,21,11,
74,500,0.1,21,21,
75,500,0.1,21,31,
76,500,0.1,31,1,
77,500,0.1,31,11,
78,500,0.1,31,21,
79,500,0.1,31,31,
80,500,0.01,1,1,1.133
81,500,0.01,1,11,
82,500,0.01,1,21,
83,500,0.01,1,31,
84,500,0.01,11,1,
85,500,0.01,11,11,
86,500,0.01,11,21,
87,500,0.01,11,31,
88,500,0.01,21,1,
89,500,0.01,21,11,
90,500,0.01,21,21,
91,500,0.01,21,31,
92,500,0.01,31,1,
93,500,0.01,31,11,
94,500,0.01,31,21,
95,500,0.01,31,31,
96,500,0.001,1,1,1.416
97,500,0.001,1,11,5.058
98,500,0.001,1,21,
99,500,0.001,1,31,
100,500,0.001,11,1,
101,500,0.001,11,11,
102,500,0.001,11,21,
103,500,0.001,11,31,
104,500,0.001,21,1,
105,500,0.001,21,11,
106,500,0.001,21,21,
107,500,0.001,21,31,
108,500,0.001,31,1,
109,500,0.001,31,11,
110,500,0.001,31,21,
111,500,0.001,31,31,
112,500,1e-05,1,1,1.392
113,500,1e-05,1,11,6.227
114,500,1e-05,1,21,17.844
115,500,1e-05,1,31,31.394
116,500,1e-05,11,1,1.258
117,500,1e-05,11,11,1.821
118,500,1e-05,11,21,3.193
119,500,1e-05,11,31,
120,500,1e-05,21,1,1.102
121,500,1e-05,21,11,
122,500,1e-05,21,21,
123,500,1e-05,21,31,
124,500,1e-05,31,1,1.277
125,500,1e-05,31,11,
126,500,1e-05,31,21,
127,500,1e-05,31,31,
128,1000,0.1,1,1,
129,1000,0.1,1,11,
130,1000,0.1,1,21,
131,1000,0.1,1,31,
132,1000,0.1,11,1,
133,1000,0.1,11,11,
134,1000,0.1,11,21,
135,1000,0.1,11,31,
136,1000,0.1,21,1,
137,1000,0.1,21,11,
138,1000,0.1,21,21,
139,1000,0.1,21,31,
140,1000,0.1,31,1,
141,1000,0.1,31,11,
142,1000,0.1,31,21,
143,1000,0.1,31,31,
144,1000,0.01,1,1,1.012
145,1000,0.01,1,11,
146,1000,0.01,1,21,
147,1000,0.01,1,31,
148,1000,0.01,11,1,
149,1000,0.01,11,11,
150,1000,0.01,11,21,
151,1000,0.01,11,31,
152,1000,0.01,21,1,
153,1000,0.01,21,11,
154,1000,0.01,21,21,
155,1000,0.01,21,31,
156,1000,0.01,31,1,
157,1000,0.01,31,11,
158,1000,0.01,31,21,
159,1000,0.01,31,31,
160,1000,0.001,1,1,1.328
161,1000,0.001,1,11,
162,1000,0.001,1,21,
163,1000,0.001,1,31,
164,1000,0.001,11,1,
165,1000,0.001,11,11,
166,1000,0.001,11,21,
167,1000,0.001,11,31,
168,1000,0.001,21,1,
169,1000,0.001,21,11,
170,1000,0.001,21,21,
171,1000,0.001,21,31,
172,1000,0.001,31,1,
173,1000,0.001,31,11,
174,1000,0.001,31,21,
175,1000,0.001,31,31,
176,1000,1e-05,1,1,1.422
177,1000,1e-05,1,11,5.883
178,1000,1e-05,1,21,16.03
179,1000,1e-05,1,31,35.887
180,1000,1e-05,11,1,1.348
181,1000,1e-05,11,11,1.433
182,1000,1e-05,11,21,
183,1000,1e-05,11,31,
184,1000,1e-05,21,1,1.193
185,1000,1e-05,21,11,
186,1000,1e-05,21,21,
187,1000,1e-05,21,31,
188,1000,1e-05,31,1,
189,1000,1e-05,31,11,
190,1000,1e-05,31,21,
191,1000,1e-05,31,31,
